time,pos_0,pos_1,pos_2,vel_0,vel_1,vel_2
1.375000000000000111e-01,9.381913359224841598e-01,4.186597375374281338e-01,4.186597375374281338e-01,3.461170570774930177e-01,9.081431738250812513e-01,9.081431738250812513e-01
1.416666666666666907e-01,9.426414910921784296e-01,4.305110968082951906e-01,4.305110968082951906e-01,3.338068592337709029e-01,9.025852843498606282e-01,9.025852843498606282e-01
1.458333333333333703e-01,9.469301294951056880e-01,4.422886902190013569e-01,4.422886902190013569e-01,3.214394653031614757e-01,8.968727415326882557e-01,8.968727415326882557e-01
1.500000000000000500e-01,9.510565162951536422e-01,4.539904997395469155e-01,4.539904997395469155e-01,3.090169943749472847e-01,8.910065241883677878e-01,8.910065241883677878e-01
1.541666666666667296e-01,9.550199444571866314e-01,4.656145203251115805e-01,4.656145203251115805e-01,2.965415749755709318e-01,8.849876374630417653e-01,8.849876374630417653e-01
1.583333333333334092e-01,9.588197348681930521e-01,4.771587602596086275e-01,4.771587602596086275e-01,2.840153447039225343e-01,8.788171126619652718e-01,8.788171126619652718e-01
1.625000000000000888e-01,9.624552364536473892e-01,4.886212414969552387e-01,4.886212414969552387e-01,2.714404498650740960e-01,8.724960070727969530e-01,8.724960070727969530e-01
1.666666666666667684e-01,9.659258262890683122e-01,5.000000000000002220e-01,5.000000000000002220e-01,2.588190451025205174e-01,8.660254037844384856e-01,8.660254037844384856e-01
1.708333333333334481e-01,9.692309097067545176e-01,5.112930860770523722e-01,5.112930860770523722e-01,2.461532930289927201e-01,8.594064115014524718e-01,8.594064115014524718e-01
1.750000000000001277e-01,9.723699203976766681e-01,5.224985647159492430e-01,5.224985647159492430e-01,2.334453638559050304e-01,8.526401643540919562e-01,8.526401643540919562e-01
1.791666666666668073e-01,9.753423205085127723e-01,5.336145159156118201e-01,5.336145159156118201e-01,2.206974350215006320e-01,8.457278217039730928e-01,8.457278217039730928e-01
1.833333333333334869e-01,9.781476007338057999e-01,5.446390350150274173e-01,5.446390350150274173e-01,2.079116908177588152e-01,8.386705679454238282e-01,8.386705679454238282e-01
1.875000000000001665e-01,9.807852804032305416e-01,5.555702330196026217e-01,5.555702330196026217e-01,1.950903220161276652e-01,8.314696123025449026e-01,8.314696123025449026e-01
1.916666666666668462e-01,9.832549075639546166e-01,5.664062369248332729e-01,5.664062369248332729e-01,1.822355254921469991e-01,8.241261886220153654e-01,8.241261886220153654e-01
1.958333333333335258e-01,9.855560590580778602e-01,5.771451900372340793e-01,5.771451900372340793e-01,1.693495038490240856e-01,8.166415551616785784e-01,8.166415551616785784e-01
2.000000000000002054e-01,9.876883405951377704e-01,5.877852522924736922e-01,5.877852522924736922e-01,1.564344650402302583e-01,8.090169943749470072e-01,8.090169943749470072e-01
2.041666666666668850e-01,9.896513868196703534e-01,5.983246005706596149e-01,5.983246005706596149e-01,1.434926219911786260e-01,8.012538126910602188e-01,8.012538126910602188e-01
2.083333333333335646e-01,9.914448613738104932e-01,6.087614290087212110e-01,6.087614290087212110e-01,1.305261922200510738e-01,7.933533402912347210e-01,7.933533402912347210e-01
2.125000000000002442e-01,9.930684569549264040e-01,6.190939493098345237e-01,6.190939493098345237e-01,1.175373974578370340e-01,7.853169308807445015e-01,7.853169308807445015e-01
2.166666666666669239e-01,9.945218953682734009e-01,6.293203910498380571e-01,6.293203910498380571e-01,1.045284632676527908e-01,7.771459614569703467e-01,7.771459614569703467e-01
2.208333333333336035e-01,9.958049275746617690e-01,6.394390019805853420e-01,6.394390019805853420e-01,9.150161866340163208e-02,7.688418320734590194e-01,7.688418320734590194e-01
2.250000000000002831e-01,9.969173337331280749e-01,6.494480483301843243e-01,6.494480483301843243e-01,7.845909572784411090e-02,7.604059656000303757e-01,7.604059656000303757e-01
2.291666666666669627e-01,9.978589232386035901e-01,6.593458151000696210e-01,6.593458151000696210e-01,6.540312923014215962e-02,7.518398074789768293e-01,7.518398074789768293e-01
2.333333333333336423e-01,9.986295347545739443e-01,6.691306063588589037e-01,6.691306063588589037e-01,5.233595624294285625e-02,7.431448254773936890e-01,7.431448254773936890e-01
2.375000000000003220e-01,9.992290362407230120e-01,6.788007455329424511e-01,6.788007455329424511e-01,3.925981575906756227e-02,7.343225094356848892e-01,7.343225094356848892e-01
2.416666666666670016e-01,9.996573249755572599e-01,6.883545756937546889e-01,6.883545756937546889e-01,2.617694830787202845e-02,7.253743710122869670e-01,7.253743710122869670e-01
2.458333333333336812e-01,9.999143275740070003e-01,6.977904598416809767e-01,6.977904598416809767e-01,1.308959557134324256e-02,7.163019434246534756e-01,7.163019434246534756e-01
2.500000000000003331e-01,1.000000000000000000e+00,7.071067811865482389e-01,7.071067811865482389e-01,-8.269460797427575597e-16,7.071067811865467956e-01,7.071067811865467956e-01
2.541666666666669849e-01,9.999143275740070003e-01,7.163019434246549189e-01,7.163019434246549189e-01,-1.308959557134533984e-02,6.977904598416794224e-01,6.977904598416794224e-01
2.583333333333336368e-01,9.996573249755572599e-01,7.253743710122882993e-01,7.253743710122882993e-01,-2.617694830787412746e-02,6.883545756937533566e-01,6.883545756937533566e-01
2.625000000000002887e-01,9.992290362407229010e-01,7.343225094356861105e-01,7.343225094356861105e-01,-3.925981575906943577e-02,6.788007455329411188e-01,6.788007455329411188e-01
2.666666666666669405e-01,9.986295347545738332e-01,7.431448254773947992e-01,7.431448254773947992e-01,-5.233595624294450771e-02,6.691306063588575714e-01,6.691306063588575714e-01
2.708333333333335924e-01,9.978589232386034791e-01,7.518398074789779395e-01,7.518398074789779395e-01,-6.540312923014381108e-02,6.593458151000682887e-01,6.593458151000682887e-01
2.750000000000002442e-01,9.969173337331279638e-01,7.604059656000313749e-01,7.604059656000313749e-01,-7.845909572784576236e-02,6.494480483301831031e-01,6.494480483301831031e-01
2.791666666666668961e-01,9.958049275746616580e-01,7.688418320734600186e-01,7.688418320734600186e-01,-9.150161866340306149e-02,6.394390019805842318e-01,6.394390019805842318e-01
2.833333333333335480e-01,9.945218953682732899e-01,7.771459614569713459e-01,7.771459614569713459e-01,-1.045284632676539982e-01,6.293203910498369469e-01,6.293203910498369469e-01
2.875000000000001998e-01,9.930684569549261820e-01,7.853169308807452786e-01,7.853169308807452786e-01,-1.175373974578382413e-01,6.190939493098335245e-01,6.190939493098335245e-01
2.916666666666668517e-01,9.914448613738102711e-01,7.933533402912354981e-01,7.933533402912354981e-01,-1.305261922200522673e-01,6.087614290087202118e-01,6.087614290087202118e-01
2.958333333333335036e-01,9.896513868196701313e-01,8.012538126910608849e-01,8.012538126910608849e-01,-1.434926219911795975e-01,5.983246005706587267e-01,5.983246005706587267e-01
3.000000000000001554e-01,9.876883405951376593e-01,8.090169943749476733e-01,8.090169943749476733e-01,-1.564344650402312298e-01,5.877852522924728040e-01,5.877852522924728040e-01
3.041666666666668073e-01,9.855560590580776381e-01,8.166415551616791335e-01,8.166415551616791335e-01,-1.693495038490250570e-01,5.771451900372333021e-01,5.771451900372333021e-01
3.083333333333334592e-01,9.832549075639545055e-01,8.241261886220158095e-01,8.241261886220158095e-01,-1.822355254921477485e-01,5.664062369248326068e-01,5.664062369248326068e-01
3.125000000000001110e-01,9.807852804032304306e-01,8.314696123025453467e-01,8.314696123025453467e-01,-1.950903220161284146e-01,5.555702330196019556e-01,5.555702330196019556e-01
3.166666666666667629e-01,9.781476007338055778e-01,8.386705679454241613e-01,8.386705679454241613e-01,-2.079116908177595646e-01,5.446390350150268622e-01,5.446390350150268622e-01
3.208333333333334147e-01,9.753423205085126613e-01,8.457278217039733148e-01,8.457278217039733148e-01,-2.206974350215011593e-01,5.336145159156114870e-01,5.336145159156114870e-01
3.250000000000000666e-01,9.723699203976765570e-01,8.526401643540922892e-01,8.526401643540922892e-01,-2.334453638559055577e-01,5.224985647159486879e-01,5.224985647159486879e-01
3.291666666666667185e-01,9.692309097067544066e-01,8.594064115014526939e-01,8.594064115014526939e-01,-2.461532930289930532e-01,5.112930860770520392e-01,5.112930860770520392e-01
3.333333333333333703e-01,9.659258262890683122e-01,8.660254037844387076e-01,8.660254037844387076e-01,-2.588190451025208505e-01,4.999999999999998890e-01,4.999999999999998890e-01
3.375000000000000222e-01,9.624552364536472782e-01,8.724960070727970640e-01,8.724960070727970640e-01,-2.714404498650742070e-01,4.886212414969549611e-01,4.886212414969549611e-01
3.416666666666666741e-01,9.588197348681930521e-01,8.788171126619653828e-01,8.788171126619653828e-01,-2.840153447039226453e-01,4.771587602596084055e-01,4.771587602596084055e-01
3.458333333333333259e-01,9.550199444571866314e-01,8.849876374630417653e-01,8.849876374630417653e-01,-2.965415749755708208e-01,4.656145203251115250e-01,4.656145203251115250e-01
3.499999999999999778e-01,9.510565162951536422e-01,8.910065241883677878e-01,8.910065241883677878e-01,-3.090169943749473402e-01,4.539904997395468045e-01,4.539904997395468045e-01
3.541666666666666297e-01,9.469301294951056880e-01,8.968727415326882557e-01,8.968727415326882557e-01,-3.214394653031613647e-01,4.422886902190014680e-01,4.422886902190014680e-01
3.583333333333332815e-01,9.426414910921784296e-01,9.025852843498605171e-01,9.025852843498605171e-01,-3.338068592337707918e-01,4.305110968082952461e-01,4.305110968082952461e-01
3.624999999999999334e-01,9.381913359224842708e-01,9.081431738250811403e-01,9.081431738250811403e-01,-3.461170570774926847e-01,4.186597375374283558e-01,4.186597375374283558e-01
3.666666666666665853e-01,9.335804264972018540e-01,9.135454576426008666e-01,9.135454576426008666e-01,-3.583679495453000463e-01,4.067366430758003748e-01,4.067366430758003748e-01
3.708333333333332371e-01,9.288095528719243488e-01,9.187912101488981964e-01,9.187912101488981964e-01,-3.705574375098358852e-01,3.947438563842675663e-01,3.947438563842675663e-01
3.749999999999998890e-01,9.238795325112869605e-01,9.238795325112865164e-01,9.238795325112865164e-01,-3.826834323650892822e-01,3.826834323650902259e-01,3.826834323650902259e-01
3.791666666666665408e-01,9.187912101488984185e-01,9.288095528719241267e-01,9.288095528719241267e-01,-3.947438563842668446e-01,3.705574375098366069e-01,3.705574375098366069e-01
3.833333333333331927e-01,9.135454576426010886e-01,9.335804264972015210e-01,9.335804264972015210e-01,-4.067366430757996532e-01,3.583679495453008235e-01,3.583679495453008235e-01
3.874999999999998446e-01,9.081431738250814734e-01,9.381913359224839377e-01,9.381913359224839377e-01,-4.186597375374278007e-01,3.461170570774934618e-01,3.461170570774934618e-01
3.916666666666664964e-01,9.025852843498608502e-01,9.426414910921782075e-01,9.426414910921782075e-01,-4.305110968082945244e-01,3.338068592337715135e-01,3.338068592337715135e-01
3.958333333333331483e-01,8.968727415326885888e-01,9.469301294951054659e-01,9.469301294951054659e-01,-4.422886902190007463e-01,3.214394653031621418e-01,3.214394653031621418e-01
3.999999999999998002e-01,8.910065241883683429e-01,9.510565162951533091e-01,9.510565162951533091e-01,-4.539904997395459163e-01,3.090169943749481174e-01,3.090169943749481174e-01
4.041666666666664520e-01,8.849876374630423204e-01,9.550199444571864094e-01,9.550199444571864094e-01,-4.656145203251106368e-01,2.965415749755715424e-01,2.965415749755715424e-01
4.083333333333331039e-01,8.788171126619657159e-01,9.588197348681928300e-01,9.588197348681928300e-01,-4.771587602596076838e-01,2.840153447039233670e-01,2.840153447039233670e-01
4.124999999999997558e-01,8.724960070727975081e-01,9.624552364536470561e-01,9.624552364536470561e-01,-4.886212414969542950e-01,2.714404498650749287e-01,2.714404498650749287e-01
4.166666666666664076e-01,8.660254037844389297e-01,9.659258262890680902e-01,9.659258262890680902e-01,-4.999999999999993894e-01,2.588190451025215721e-01,2.588190451025215721e-01
4.208333333333330595e-01,8.594064115014532490e-01,9.692309097067541845e-01,9.692309097067541845e-01,-5.112930860770511510e-01,2.461532930289940246e-01,2.461532930289940246e-01
4.249999999999997113e-01,8.526401643540927333e-01,9.723699203976763350e-01,9.723699203976763350e-01,-5.224985647159480218e-01,2.334453638559063349e-01,2.334453638559063349e-01
4.291666666666663632e-01,8.457278217039739809e-01,9.753423205085124392e-01,9.753423205085124392e-01,-5.336145159156103768e-01,2.206974350215021585e-01,2.206974350215021585e-01
4.333333333333330151e-01,8.386705679454247164e-01,9.781476007338054668e-01,9.781476007338054668e-01,-5.446390350150259740e-01,2.079116908177603418e-01,2.079116908177603418e-01
4.374999999999996669e-01,8.314696123025459018e-01,9.807852804032302085e-01,9.807852804032302085e-01,-5.555702330196011784e-01,1.950903220161294138e-01,1.950903220161294138e-01
4.416666666666663188e-01,8.241261886220162536e-01,9.832549075639543945e-01,9.832549075639543945e-01,-5.664062369248319406e-01,1.822355254921485257e-01,1.822355254921485257e-01
4.458333333333329707e-01,8.166415551616794666e-01,9.855560590580775271e-01,9.855560590580775271e-01,-5.771451900372327470e-01,1.693495038490258342e-01,1.693495038490258342e-01
4.499999999999996225e-01,8.090169943749480064e-01,9.876883405951375483e-01,9.876883405951375483e-01,-5.877852522924723599e-01,1.564344650402320069e-01,1.564344650402320069e-01
4.541666666666662744e-01,8.012538126910614400e-01,9.896513868196700203e-01,9.896513868196700203e-01,-5.983246005706579496e-01,1.434926219911805967e-01,1.434926219911805967e-01
4.583333333333329263e-01,7.933533402912359422e-01,9.914448613738102711e-01,9.914448613738102711e-01,-6.087614290087196567e-01,1.305261922200528224e-01,1.305261922200528224e-01
4.624999999999995781e-01,7.853169308807459448e-01,9.930684569549261820e-01,9.930684569549261820e-01,-6.190939493098327473e-01,1.175373974578390185e-01,1.175373974578390185e-01
4.666666666666662300e-01,7.771459614569719010e-01,9.945218953682731788e-01,9.945218953682731788e-01,-6.293203910498362808e-01,1.045284632676549974e-01,1.045284632676549974e-01
4.708333333333328818e-01,7.688418320734604627e-01,9.958049275746615470e-01,9.958049275746615470e-01,-6.394390019805835657e-01,9.150161866340383865e-02,9.150161866340383865e-02
4.749999999999995337e-01,7.604059656000318190e-01,9.969173337331278528e-01,9.969173337331278528e-01,-6.494480483301825480e-01,7.845909572784655339e-02,7.845909572784655339e-02
4.791666666666661856e-01,7.518398074789782726e-01,9.978589232386033681e-01,9.978589232386033681e-01,-6.593458151000678447e-01,6.540312923014460211e-02,6.540312923014460211e-02
4.833333333333328374e-01,7.431448254773953543e-01,9.986295347545738332e-01,9.986295347545738332e-01,-6.691306063588569053e-01,5.233595624294552079e-02,5.233595624294552079e-02
4.874999999999994893e-01,7.343225094356866656e-01,9.992290362407229010e-01,9.992290362407229010e-01,-6.788007455329405637e-01,3.925981575907021986e-02,3.925981575907021986e-02
4.916666666666661412e-01,7.253743710122890764e-01,9.996573249755572599e-01,9.996573249755572599e-01,-6.883545756937524684e-01,2.617694830787491503e-02,2.617694830787491503e-02
4.958333333333327930e-01,7.163019434246555850e-01,9.999143275740070003e-01,9.999143275740070003e-01,-6.977904598416787563e-01,1.308959557134612914e-02,1.308959557134612914e-02
4.999999999999994449e-01,7.071067811865487940e-01,1.000000000000000000e+00,1.000000000000000000e+00,-7.071067811865462405e-01,1.837589179357618039e-15,1.837589179357618039e-15
5.041666666666660968e-01,6.977904598416814208e-01,9.999143275740070003e-01,9.999143275740070003e-01,-7.163019434246530315e-01,-1.308959557134267704e-02,-1.308959557134267704e-02
5.083333333333327486e-01,6.883545756937552440e-01,9.996573249755573709e-01,9.996573249755573709e-01,-7.253743710122864119e-01,-2.617694830787124088e-02,-2.617694830787124088e-02
5.124999999999994005e-01,6.788007455329430062e-01,9.992290362407230120e-01,9.992290362407230120e-01,-7.343225094356844451e-01,-3.925981575906677123e-02,-3.925981575906677123e-02
5.166666666666660523e-01,6.691306063588596809e-01,9.986295347545739443e-01,9.986295347545739443e-01,-7.431448254773929118e-01,-5.233595624294185011e-02,-5.233595624294185011e-02
5.208333333333327042e-01,6.593458151000706202e-01,9.978589232386037011e-01,9.978589232386037011e-01,-7.518398074789758301e-01,-6.540312923014093838e-02,-6.540312923014093838e-02
