time,pos_0,pos_1,pos_2,vel_0,vel_1,vel_2
5.708333333333325266e-01,-6.788007455329395645e-01,9.753423205085132164e-01,-2.965415749755732078e-01,-7.343225094356875537e-01,-2.206974350214985781e-01,9.550199444571859653e-01
5.749999999999991784e-01,-6.883545756937518023e-01,9.723699203976772232e-01,-2.840153447039250323e-01,-7.253743710122896315e-01,-2.334453638559027544e-01,9.588197348681923859e-01
5.791666666666658303e-01,-6.977904598416780901e-01,9.692309097067550727e-01,-2.714404498650765940e-01,-7.163019434246562511e-01,-2.461532930289904719e-01,9.624552364536466120e-01
5.833333333333324822e-01,-7.071067811865455743e-01,9.659258262890689783e-01,-2.588190451025232375e-01,-7.071067811865495711e-01,-2.588190451025180749e-01,9.659258262890676461e-01
5.874999999999991340e-01,-7.163019434246523653e-01,9.624552364536480553e-01,-2.461532930289954679e-01,-6.977904598416820869e-01,-2.714404498650715980e-01,9.692309097067537405e-01
5.916666666666657859e-01,-7.253743710122855237e-01,9.588197348681938292e-01,-2.334453638559080002e-01,-6.883545756937562432e-01,-2.840153447039198698e-01,9.723699203976760019e-01
5.958333333333324378e-01,-7.343225094356834459e-01,9.550199444571874086e-01,-2.206974350215036018e-01,-6.788007455329440054e-01,-2.965415749755682673e-01,9.753423205085121062e-01
5.999999999999990896e-01,-7.431448254773919126e-01,9.510565162951545304e-01,-2.079116908177620071e-01,-6.691306063588607911e-01,-3.090169943749446202e-01,9.781476007338050227e-01
6.041666666666657415e-01,-7.518398074789751639e-01,9.469301294951065762e-01,-1.950903220161308849e-01,-6.593458151000713974e-01,-3.214394653031588667e-01,9.807852804032298755e-01
6.083333333333323933e-01,-7.604059656000288214e-01,9.426414910921794288e-01,-1.822355254921502188e-01,-6.494480483301861007e-01,-3.338068592337680718e-01,9.832549075639540614e-01
6.124999999999990452e-01,-7.688418320734574651e-01,9.381913359224852700e-01,-1.693495038490275273e-01,-6.394390019805872294e-01,-3.461170570774899646e-01,9.855560590580771940e-01
6.166666666666656971e-01,-7.771459614569689034e-01,9.335804264972028532e-01,-1.564344650402337278e-01,-6.293203910498398335e-01,-3.583679495452973818e-01,9.876883405951373263e-01
6.208333333333323489e-01,-7.853169308807425031e-01,9.288095528719254590e-01,-1.434926219911823175e-01,-6.190939493098370772e-01,-3.705574375098332207e-01,9.896513868196697983e-01
6.249999999999990008e-01,-7.933533402912328336e-01,9.238795325112879597e-01,-1.305261922200545155e-01,-6.087614290087236535e-01,-3.826834323650868397e-01,9.914448613738100491e-01
6.291666666666656527e-01,-8.012538126910584424e-01,9.187912101488996397e-01,-1.175373974578407255e-01,-5.983246005706620574e-01,-3.947438563842641801e-01,9.930684569549259599e-01
6.333333333333323045e-01,-8.090169943749452308e-01,9.135454576426021989e-01,-1.045284632676564823e-01,-5.877852522924761347e-01,-4.067366430757972107e-01,9.945218953682730678e-01
6.374999999999989564e-01,-8.166415551616768020e-01,9.081431738250826946e-01,-9.150161866340554562e-02,-5.771451900372366328e-01,-4.186597375374249697e-01,9.958049275746614359e-01
6.416666666666656083e-01,-8.241261886220135890e-01,9.025852843498620715e-01,-7.845909572784803832e-02,-5.664062369248357154e-01,-4.305110968082921374e-01,9.969173337331277418e-01
6.458333333333322601e-01,-8.314696123025433483e-01,8.968727415326896990e-01,-6.540312923014608704e-02,-5.555702330196051753e-01,-4.422886902189983593e-01,9.978589232386032570e-01
6.499999999999989120e-01,-8.386705679454221629e-01,8.910065241883695641e-01,-5.233595624294722776e-02,-5.446390350150299708e-01,-4.539904997395435293e-01,9.986295347545737222e-01
6.541666666666655638e-01,-8.457278217039714274e-01,8.849876374630435416e-01,-3.925981575907193377e-02,-5.336145159156143736e-01,-4.656145203251082498e-01,9.992290362407227899e-01
6.583333333333322157e-01,-8.526401643540905129e-01,8.788171126619670481e-01,-2.617694830787640689e-02,-5.224985647159516855e-01,-4.771587602596053523e-01,9.996573249755571489e-01
6.624999999999988676e-01,-8.594064115014505845e-01,8.724960070727989514e-01,-1.308959557134806682e-02,-5.112930860770555919e-01,-4.886212414969515749e-01,9.999143275740070003e-01
