time,pos_0,pos_1,pos_2,vel_0,vel_1,vel_2
0.000000000000000000e+00,-7.071067811865474617e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.166666666666666609e-03,-6.977904598416801996e-01,1.308959557134443952e-02,1.308959557134443952e-02,7.163019434246542527e-01,9.999143275740070003e-01,9.999143275740070003e-01
8.333333333333333218e-03,-6.883545756937539117e-01,2.617694830787314908e-02,2.617694830787314908e-02,7.253743710122876331e-01,9.996573249755572599e-01,9.996573249755572599e-01
1.250000000000000069e-02,-6.788007455329416739e-01,3.925981575906861004e-02,3.925981575906861004e-02,7.343225094356855553e-01,9.992290362407229010e-01,9.992290362407229010e-01
1.666666666666666644e-02,-6.691306063588582376e-01,5.233595624294382770e-02,5.233595624294382770e-02,7.431448254773942441e-01,9.986295347545738332e-01,9.986295347545738332e-01
2.083333333333333218e-02,-6.593458151000688439e-01,6.540312923014306168e-02,6.540312923014306168e-02,7.518398074789773844e-01,9.978589232386034791e-01,9.978589232386034791e-01
2.499999999999999792e-02,-6.494480483301836582e-01,7.845909572784494357e-02,7.845909572784494357e-02,7.604059656000309309e-01,9.969173337331279638e-01,9.969173337331279638e-01
2.916666666666666366e-02,-6.394390019805847869e-01,9.150161866340236760e-02,9.150161866340236760e-02,7.688418320734594635e-01,9.958049275746617690e-01,9.958049275746617690e-01
3.333333333333333287e-02,-6.293203910498373910e-01,1.045284632676534570e-01,1.045284632676534570e-01,7.771459614569709018e-01,9.945218953682732899e-01,9.945218953682732899e-01
3.749999999999999861e-02,-6.190939493098339685e-01,1.175373974578376446e-01,1.175373974578376446e-01,7.853169308807449456e-01,9.930684569549262930e-01,9.930684569549262930e-01
4.166666666666666435e-02,-6.087614290087206559e-01,1.305261922200515734e-01,1.305261922200515734e-01,7.933533402912351651e-01,9.914448613738103822e-01,9.914448613738103822e-01
